Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
May 31 2024,Kings,NY,Passenger,1,0,1,32,33,3.03
July 31 2022,Ulster,NY,Passenger,1,0,1,13,14,7.14
September 30 2020,Ulster,NY,Passenger,1,0,1,13,14,7.14
August 31 2023,Ulster,NY,Passenger,1,0,1,8,9,11.11
January 31 2021,Nassau,NY,Passenger,5,0,5,35,40,12.5
July 31 2020,Ulster,NY,Passenger,1,0,1,12,13,7.69
June 30 2021,Ulster,NY,Passenger,1,0,1,13,14,7.14
April 30 2021,New York,NY,Passenger,2,0,2,56,58,3.45
November 30 2017,Queens,NY,Passenger,1,0,1,62,63,1.59
May 31 2018,Queens,NY,Passenger,1,0,1,65,66,1.52
January 31 2019,Nassau,NY,Passenger,3,0,3,39,42,7.14
February 29 2020,Queens,NY,Passenger,1,0,1,54,55,1.82
October 31 2024,Nassau,NY,Passenger,2,0,2,15,17,11.76
May 31 2020,Ulster,NY,Passenger,1,0,1,12,13,7.69
October 31 2024,Jefferson,NY,Passenger,3,0,3,159,162,1.85
August 31 2022,Queens,NY,Passenger,1,0,1,46,47,2.13
August 31 2020,Ulster,NY,Passenger,1,0,1,13,14,7.14
December 31 2023,Nassau,NY,Passenger,2,0,2,23,25,8.0
May 31 2021,Nassau,NY,Passenger,4,0,4,34,38,10.53
July 31 2017,Nassau,NY,Passenger,1,1,2,40,42,4.76
January 31 2023,Ulster,NY,Passenger,1,0,1,9,10,10.0
July 31 2018,Nassau,NY,Passenger,2,0,2,40,42,4.76
November 30 2022,Richmond,NY,Passenger,1,0,1,2,3,33.33
October 31 2017,Queens,NY,Passenger,1,0,1,63,64,1.56
